Epoch: 1, LR => 0.001000, Loss => 9.3695, Accuracy => 10.18%
Epoch: 2, LR => 0.000999, Loss => 7.7288, Accuracy => 21.89%
Epoch: 3, LR => 0.000996, Loss => 6.7663, Accuracy => 29.56%
Epoch: 4, LR => 0.000991, Loss => 6.0133, Accuracy => 36.50%
Epoch: 5, LR => 0.000984, Loss => 5.4263, Accuracy => 41.39%
Epoch: 6, LR => 0.000976, Loss => 4.9887, Accuracy => 45.80%
Epoch: 7, LR => 0.000965, Loss => 4.6247, Accuracy => 49.33%
Epoch: 8, LR => 0.000952, Loss => 4.3259, Accuracy => 52.00%
Epoch: 9, LR => 0.000938, Loss => 4.0809, Accuracy => 55.01%
Epoch: 10, LR => 0.000922, Loss => 3.8736, Accuracy => 57.24%
Epoch: 11, LR => 0.000905, Loss => 3.6649, Accuracy => 59.26%
Epoch: 12, LR => 0.000885, Loss => 3.4737, Accuracy => 61.60%
Epoch: 13, LR => 0.000864, Loss => 3.3220, Accuracy => 63.06%
Epoch: 14, LR => 0.000842, Loss => 3.1822, Accuracy => 64.94%
Epoch: 15, LR => 0.000819, Loss => 3.0430, Accuracy => 66.48%
Epoch: 16, LR => 0.000794, Loss => 2.9025, Accuracy => 68.18%
Epoch: 17, LR => 0.000768, Loss => 2.8104, Accuracy => 69.58%
Epoch: 18, LR => 0.000741, Loss => 2.7014, Accuracy => 70.76%
Epoch: 19, LR => 0.000713, Loss => 2.6174, Accuracy => 72.14%
Epoch: 20, LR => 0.000684, Loss => 2.5166, Accuracy => 73.41%
Epoch: 21, LR => 0.000655, Loss => 2.4401, Accuracy => 74.66%
Epoch: 22, LR => 0.000624, Loss => 2.3545, Accuracy => 75.56%
Epoch: 23, LR => 0.000594, Loss => 2.2957, Accuracy => 76.74%
Epoch: 24, LR => 0.000563, Loss => 2.2271, Accuracy => 77.55%
Epoch: 25, LR => 0.000531, Loss => 2.1589, Accuracy => 78.82%
Epoch: 26, LR => 0.000500, Loss => 2.1129, Accuracy => 79.50%
Epoch: 27, LR => 0.000469, Loss => 2.0498, Accuracy => 80.65%
Epoch: 28, LR => 0.000437, Loss => 2.0025, Accuracy => 81.20%
Epoch: 29, LR => 0.000406, Loss => 1.9664, Accuracy => 81.81%
Epoch: 30, LR => 0.000376, Loss => 1.9097, Accuracy => 82.75%
Epoch: 31, LR => 0.000345, Loss => 1.8887, Accuracy => 83.10%
Epoch: 32, LR => 0.000316, Loss => 1.8433, Accuracy => 83.98%
Epoch: 33, LR => 0.000287, Loss => 1.8148, Accuracy => 84.26%
Epoch: 34, LR => 0.000259, Loss => 1.7847, Accuracy => 85.00%
Epoch: 35, LR => 0.000232, Loss => 1.7501, Accuracy => 85.41%
Epoch: 36, LR => 0.000206, Loss => 1.7290, Accuracy => 85.99%
Epoch: 37, LR => 0.000181, Loss => 1.7062, Accuracy => 86.19%
Epoch: 38, LR => 0.000158, Loss => 1.6830, Accuracy => 86.76%
Epoch: 39, LR => 0.000136, Loss => 1.6722, Accuracy => 87.02%
Epoch: 40, LR => 0.000115, Loss => 1.6495, Accuracy => 87.33%
Epoch: 41, LR => 0.000095, Loss => 1.6418, Accuracy => 87.61%
Epoch: 42, LR => 0.000078, Loss => 1.6119, Accuracy => 87.65%
Epoch: 43, LR => 0.000062, Loss => 1.6210, Accuracy => 87.92%
Epoch: 44, LR => 0.000048, Loss => 1.6039, Accuracy => 88.03%
Epoch: 45, LR => 0.000035, Loss => 1.5979, Accuracy => 88.45%
Epoch: 46, LR => 0.000024, Loss => 1.5896, Accuracy => 88.48%
Epoch: 47, LR => 0.000016, Loss => 1.5876, Accuracy => 88.49%
Epoch: 48, LR => 0.000009, Loss => 1.5801, Accuracy => 88.46%
Epoch: 49, LR => 0.000004, Loss => 1.5829, Accuracy => 88.48%
Epoch: 50, LR => 0.000001, Loss => 1.5812, Accuracy => 88.50%
