Epoch: 1, LR => 0.001000, Loss => 17.4244, Accuracy => 8.92%
Epoch: 2, LR => 0.000999, Loss => 14.6718, Accuracy => 18.15%
Epoch: 3, LR => 0.000996, Loss => 13.3685, Accuracy => 23.02%
Epoch: 4, LR => 0.000991, Loss => 12.3514, Accuracy => 27.35%
Epoch: 5, LR => 0.000984, Loss => 11.4528, Accuracy => 31.07%
Epoch: 6, LR => 0.000976, Loss => 10.6363, Accuracy => 34.70%
Epoch: 7, LR => 0.000965, Loss => 9.8054, Accuracy => 38.57%
Epoch: 8, LR => 0.000952, Loss => 9.1592, Accuracy => 41.88%
Epoch: 9, LR => 0.000938, Loss => 8.3347, Accuracy => 45.76%
Epoch: 10, LR => 0.000922, Loss => 7.5448, Accuracy => 50.07%
Epoch: 11, LR => 0.000905, Loss => 6.8396, Accuracy => 53.87%
Epoch: 12, LR => 0.000885, Loss => 6.1190, Accuracy => 57.91%
Epoch: 13, LR => 0.000864, Loss => 5.3499, Accuracy => 62.55%
Epoch: 14, LR => 0.000842, Loss => 4.6393, Accuracy => 66.88%
Epoch: 15, LR => 0.000819, Loss => 3.9551, Accuracy => 71.43%
Epoch: 16, LR => 0.000794, Loss => 3.3682, Accuracy => 75.67%
Epoch: 17, LR => 0.000768, Loss => 2.8951, Accuracy => 79.23%
Epoch: 18, LR => 0.000741, Loss => 2.5508, Accuracy => 82.10%
Epoch: 19, LR => 0.000713, Loss => 2.2727, Accuracy => 84.44%
Epoch: 20, LR => 0.000684, Loss => 2.0827, Accuracy => 85.97%
Epoch: 21, LR => 0.000655, Loss => 1.9403, Accuracy => 87.13%
Epoch: 22, LR => 0.000624, Loss => 1.8129, Accuracy => 88.39%
Epoch: 23, LR => 0.000594, Loss => 1.7087, Accuracy => 89.16%
Epoch: 24, LR => 0.000563, Loss => 1.6149, Accuracy => 89.91%
Epoch: 25, LR => 0.000531, Loss => 1.5330, Accuracy => 90.51%
Epoch: 26, LR => 0.000500, Loss => 1.4526, Accuracy => 91.18%
Epoch: 27, LR => 0.000469, Loss => 1.3875, Accuracy => 91.71%
Epoch: 28, LR => 0.000437, Loss => 1.3241, Accuracy => 92.09%
Epoch: 29, LR => 0.000406, Loss => 1.2717, Accuracy => 92.43%
Epoch: 30, LR => 0.000376, Loss => 1.2185, Accuracy => 92.98%
Epoch: 31, LR => 0.000345, Loss => 1.1701, Accuracy => 93.25%
Epoch: 32, LR => 0.000316, Loss => 1.1216, Accuracy => 93.58%
Epoch: 33, LR => 0.000287, Loss => 1.0730, Accuracy => 93.98%
Epoch: 34, LR => 0.000259, Loss => 1.0289, Accuracy => 94.36%
Epoch: 35, LR => 0.000232, Loss => 0.9873, Accuracy => 94.79%
Epoch: 36, LR => 0.000206, Loss => 0.9518, Accuracy => 94.99%
Epoch: 37, LR => 0.000181, Loss => 0.9173, Accuracy => 95.18%
Epoch: 38, LR => 0.000158, Loss => 0.8857, Accuracy => 95.58%
Epoch: 39, LR => 0.000136, Loss => 0.8568, Accuracy => 95.89%
Epoch: 40, LR => 0.000115, Loss => 0.8322, Accuracy => 96.12%
Epoch: 41, LR => 0.000095, Loss => 0.8112, Accuracy => 96.29%
Epoch: 42, LR => 0.000078, Loss => 0.7942, Accuracy => 96.37%
Epoch: 43, LR => 0.000062, Loss => 0.7797, Accuracy => 96.55%
Epoch: 44, LR => 0.000048, Loss => 0.7687, Accuracy => 96.62%
Epoch: 45, LR => 0.000035, Loss => 0.7603, Accuracy => 96.65%
Epoch: 46, LR => 0.000024, Loss => 0.7539, Accuracy => 96.65%
Epoch: 47, LR => 0.000016, Loss => 0.7493, Accuracy => 96.71%
Epoch: 48, LR => 0.000009, Loss => 0.7460, Accuracy => 96.69%
Epoch: 49, LR => 0.000004, Loss => 0.7437, Accuracy => 96.72%
Epoch: 50, LR => 0.000001, Loss => 0.7425, Accuracy => 96.72%
