Epoch: 1, LR => 0.001000, Loss => 4.0372, Accuracy => 8.38%
Epoch: 2, LR => 0.000999, Loss => 3.4981, Accuracy => 16.06%
Epoch: 3, LR => 0.000996, Loss => 3.2502, Accuracy => 20.64%
Epoch: 4, LR => 0.000991, Loss => 3.0152, Accuracy => 24.96%
Epoch: 5, LR => 0.000984, Loss => 2.8111, Accuracy => 29.03%
Epoch: 6, LR => 0.000976, Loss => 2.6319, Accuracy => 32.69%
Epoch: 7, LR => 0.000965, Loss => 2.4452, Accuracy => 36.39%
Epoch: 8, LR => 0.000952, Loss => 2.2909, Accuracy => 39.94%
Epoch: 9, LR => 0.000938, Loss => 2.1153, Accuracy => 43.32%
Epoch: 10, LR => 0.000922, Loss => 1.9596, Accuracy => 46.91%
Epoch: 11, LR => 0.000905, Loss => 1.7763, Accuracy => 50.91%
Epoch: 12, LR => 0.000885, Loss => 1.5664, Accuracy => 56.04%
Epoch: 13, LR => 0.000864, Loss => 1.3429, Accuracy => 61.52%
Epoch: 14, LR => 0.000842, Loss => 1.1002, Accuracy => 67.72%
Epoch: 15, LR => 0.000819, Loss => 0.8125, Accuracy => 76.04%
Epoch: 16, LR => 0.000794, Loss => 0.5471, Accuracy => 83.76%
Epoch: 17, LR => 0.000768, Loss => 0.3368, Accuracy => 90.36%
Epoch: 18, LR => 0.000741, Loss => 0.1840, Accuracy => 95.17%
Epoch: 19, LR => 0.000713, Loss => 0.0896, Accuracy => 98.14%
Epoch: 20, LR => 0.000684, Loss => 0.0373, Accuracy => 99.40%
Epoch: 21, LR => 0.000655, Loss => 0.0183, Accuracy => 99.72%
Epoch: 22, LR => 0.000624, Loss => 0.0109, Accuracy => 99.84%
Epoch: 23, LR => 0.000594, Loss => 0.0075, Accuracy => 99.87%
Epoch: 24, LR => 0.000563, Loss => 0.0055, Accuracy => 99.92%
Epoch: 25, LR => 0.000531, Loss => 0.0037, Accuracy => 99.95%
Epoch: 26, LR => 0.000500, Loss => 0.0027, Accuracy => 99.97%
Epoch: 27, LR => 0.000469, Loss => 0.0023, Accuracy => 99.97%
Epoch: 28, LR => 0.000437, Loss => 0.0021, Accuracy => 99.97%
Epoch: 29, LR => 0.000406, Loss => 0.0020, Accuracy => 99.97%
Epoch: 30, LR => 0.000376, Loss => 0.0017, Accuracy => 99.98%
Epoch: 31, LR => 0.000345, Loss => 0.0016, Accuracy => 99.97%
Epoch: 32, LR => 0.000316, Loss => 0.0017, Accuracy => 99.97%
Epoch: 33, LR => 0.000287, Loss => 0.0013, Accuracy => 99.98%
Epoch: 34, LR => 0.000259, Loss => 0.0014, Accuracy => 99.97%
Epoch: 35, LR => 0.000232, Loss => 0.0012, Accuracy => 99.97%
Epoch: 36, LR => 0.000206, Loss => 0.0013, Accuracy => 99.97%
Epoch: 37, LR => 0.000181, Loss => 0.0011, Accuracy => 99.98%
Epoch: 38, LR => 0.000158, Loss => 0.0011, Accuracy => 99.98%
Epoch: 39, LR => 0.000136, Loss => 0.0010, Accuracy => 99.98%
Epoch: 40, LR => 0.000115, Loss => 0.0010, Accuracy => 99.97%
Epoch: 41, LR => 0.000095, Loss => 0.0009, Accuracy => 99.97%
Epoch: 42, LR => 0.000078, Loss => 0.0008, Accuracy => 99.97%
Epoch: 43, LR => 0.000062, Loss => 0.0008, Accuracy => 99.98%
Epoch: 44, LR => 0.000048, Loss => 0.0007, Accuracy => 99.98%
Epoch: 45, LR => 0.000035, Loss => 0.0007, Accuracy => 99.98%
Epoch: 46, LR => 0.000024, Loss => 0.0007, Accuracy => 99.97%
Epoch: 47, LR => 0.000016, Loss => 0.0007, Accuracy => 99.97%
Epoch: 48, LR => 0.000009, Loss => 0.0006, Accuracy => 99.98%
Epoch: 49, LR => 0.000004, Loss => 0.0006, Accuracy => 99.97%
Epoch: 50, LR => 0.000001, Loss => 0.0006, Accuracy => 99.98%
