Epoch: 1, LR => 0.001000, Loss => 15.0446, Accuracy => 8.41%
Epoch: 2, LR => 0.000999, Loss => 13.1070, Accuracy => 15.58%
Epoch: 3, LR => 0.000996, Loss => 12.1635, Accuracy => 20.00%
Epoch: 4, LR => 0.000991, Loss => 11.3414, Accuracy => 23.86%
Epoch: 5, LR => 0.000984, Loss => 10.7062, Accuracy => 26.79%
Epoch: 6, LR => 0.000976, Loss => 10.0004, Accuracy => 30.33%
Epoch: 7, LR => 0.000965, Loss => 9.4008, Accuracy => 33.31%
Epoch: 8, LR => 0.000952, Loss => 8.9005, Accuracy => 35.77%
Epoch: 9, LR => 0.000938, Loss => 8.4200, Accuracy => 38.89%
Epoch: 10, LR => 0.000922, Loss => 7.9007, Accuracy => 41.61%
Epoch: 11, LR => 0.000905, Loss => 7.4743, Accuracy => 43.82%
Epoch: 12, LR => 0.000885, Loss => 7.0448, Accuracy => 46.43%
Epoch: 13, LR => 0.000864, Loss => 6.6531, Accuracy => 48.85%
Epoch: 14, LR => 0.000842, Loss => 6.2418, Accuracy => 51.21%
Epoch: 15, LR => 0.000819, Loss => 5.9175, Accuracy => 53.34%
Epoch: 16, LR => 0.000794, Loss => 5.5106, Accuracy => 56.22%
Epoch: 17, LR => 0.000768, Loss => 5.1434, Accuracy => 58.51%
Epoch: 18, LR => 0.000741, Loss => 4.8904, Accuracy => 60.15%
Epoch: 19, LR => 0.000713, Loss => 4.5679, Accuracy => 62.37%
Epoch: 20, LR => 0.000684, Loss => 4.2692, Accuracy => 64.69%
Epoch: 21, LR => 0.000655, Loss => 3.9621, Accuracy => 66.82%
Epoch: 22, LR => 0.000624, Loss => 3.7878, Accuracy => 68.24%
Epoch: 23, LR => 0.000594, Loss => 3.5903, Accuracy => 69.64%
Epoch: 24, LR => 0.000563, Loss => 3.3818, Accuracy => 71.38%
Epoch: 25, LR => 0.000531, Loss => 3.2201, Accuracy => 72.72%
Epoch: 26, LR => 0.000500, Loss => 3.0491, Accuracy => 73.95%
Epoch: 27, LR => 0.000469, Loss => 2.9542, Accuracy => 75.03%
Epoch: 28, LR => 0.000437, Loss => 2.8276, Accuracy => 76.04%
Epoch: 29, LR => 0.000406, Loss => 2.7231, Accuracy => 76.77%
Epoch: 30, LR => 0.000376, Loss => 2.6219, Accuracy => 77.72%
Epoch: 31, LR => 0.000345, Loss => 2.5548, Accuracy => 78.19%
Epoch: 32, LR => 0.000316, Loss => 2.4694, Accuracy => 78.89%
Epoch: 33, LR => 0.000287, Loss => 2.3983, Accuracy => 79.44%
Epoch: 34, LR => 0.000259, Loss => 2.3436, Accuracy => 79.95%
Epoch: 35, LR => 0.000232, Loss => 2.2799, Accuracy => 80.48%
Epoch: 36, LR => 0.000206, Loss => 2.2306, Accuracy => 80.91%
Epoch: 37, LR => 0.000181, Loss => 2.1898, Accuracy => 81.15%
Epoch: 38, LR => 0.000158, Loss => 2.1503, Accuracy => 81.32%
Epoch: 39, LR => 0.000136, Loss => 2.1048, Accuracy => 81.86%
Epoch: 40, LR => 0.000115, Loss => 2.0602, Accuracy => 82.10%
Epoch: 41, LR => 0.000095, Loss => 2.0373, Accuracy => 82.45%
Epoch: 42, LR => 0.000078, Loss => 2.0123, Accuracy => 82.46%
Epoch: 43, LR => 0.000062, Loss => 1.9802, Accuracy => 82.71%
Epoch: 44, LR => 0.000048, Loss => 1.9711, Accuracy => 82.94%
Epoch: 45, LR => 0.000035, Loss => 1.9450, Accuracy => 83.13%
Epoch: 46, LR => 0.000024, Loss => 1.9423, Accuracy => 83.03%
Epoch: 47, LR => 0.000016, Loss => 1.9217, Accuracy => 83.29%
Epoch: 48, LR => 0.000009, Loss => 1.9163, Accuracy => 83.38%
Epoch: 49, LR => 0.000004, Loss => 1.9170, Accuracy => 83.37%
Epoch: 50, LR => 0.000001, Loss => 1.9077, Accuracy => 83.40%
