Epoch: 1, LR => 0.001000, Loss => 3.7976, Accuracy => 11.37%
Epoch: 2, LR => 0.000999, Loss => 2.9897, Accuracy => 24.84%
Epoch: 3, LR => 0.000996, Loss => 2.5271, Accuracy => 33.88%
Epoch: 4, LR => 0.000991, Loss => 2.1789, Accuracy => 41.48%
Epoch: 5, LR => 0.000984, Loss => 1.9096, Accuracy => 47.42%
Epoch: 6, LR => 0.000976, Loss => 1.6668, Accuracy => 53.09%
Epoch: 7, LR => 0.000965, Loss => 1.4394, Accuracy => 58.52%
Epoch: 8, LR => 0.000952, Loss => 1.2216, Accuracy => 64.06%
Epoch: 9, LR => 0.000938, Loss => 1.0258, Accuracy => 69.16%
Epoch: 10, LR => 0.000922, Loss => 0.8226, Accuracy => 74.60%
Epoch: 11, LR => 0.000905, Loss => 0.6616, Accuracy => 79.11%
Epoch: 12, LR => 0.000885, Loss => 0.5260, Accuracy => 82.90%
Epoch: 13, LR => 0.000864, Loss => 0.4100, Accuracy => 86.71%
Epoch: 14, LR => 0.000842, Loss => 0.3245, Accuracy => 89.35%
Epoch: 15, LR => 0.000819, Loss => 0.2441, Accuracy => 92.12%
Epoch: 16, LR => 0.000794, Loss => 0.2225, Accuracy => 92.68%
Epoch: 17, LR => 0.000768, Loss => 0.1679, Accuracy => 94.55%
Epoch: 18, LR => 0.000741, Loss => 0.1554, Accuracy => 94.94%
Epoch: 19, LR => 0.000713, Loss => 0.1181, Accuracy => 96.14%
Epoch: 20, LR => 0.000684, Loss => 0.0794, Accuracy => 97.58%
Epoch: 21, LR => 0.000655, Loss => 0.0724, Accuracy => 97.77%
Epoch: 22, LR => 0.000624, Loss => 0.0887, Accuracy => 97.13%
Epoch: 23, LR => 0.000594, Loss => 0.0604, Accuracy => 98.13%
Epoch: 24, LR => 0.000563, Loss => 0.0489, Accuracy => 98.50%
Epoch: 25, LR => 0.000531, Loss => 0.0430, Accuracy => 98.73%
Epoch: 26, LR => 0.000500, Loss => 0.0388, Accuracy => 98.89%
Epoch: 27, LR => 0.000469, Loss => 0.0305, Accuracy => 99.15%
Epoch: 28, LR => 0.000437, Loss => 0.0233, Accuracy => 99.36%
Epoch: 29, LR => 0.000406, Loss => 0.0191, Accuracy => 99.50%
Epoch: 30, LR => 0.000376, Loss => 0.0139, Accuracy => 99.64%
Epoch: 31, LR => 0.000345, Loss => 0.0095, Accuracy => 99.80%
Epoch: 32, LR => 0.000316, Loss => 0.0080, Accuracy => 99.82%
Epoch: 33, LR => 0.000287, Loss => 0.0074, Accuracy => 99.84%
Epoch: 34, LR => 0.000259, Loss => 0.0059, Accuracy => 99.88%
Epoch: 35, LR => 0.000232, Loss => 0.0051, Accuracy => 99.90%
Epoch: 36, LR => 0.000206, Loss => 0.0040, Accuracy => 99.92%
Epoch: 37, LR => 0.000181, Loss => 0.0032, Accuracy => 99.96%
Epoch: 38, LR => 0.000158, Loss => 0.0026, Accuracy => 99.95%
Epoch: 39, LR => 0.000136, Loss => 0.0023, Accuracy => 99.96%
Epoch: 40, LR => 0.000115, Loss => 0.0019, Accuracy => 99.96%
Epoch: 41, LR => 0.000095, Loss => 0.0020, Accuracy => 99.97%
Epoch: 42, LR => 0.000078, Loss => 0.0017, Accuracy => 99.97%
Epoch: 43, LR => 0.000062, Loss => 0.0015, Accuracy => 99.97%
Epoch: 44, LR => 0.000048, Loss => 0.0014, Accuracy => 99.97%
Epoch: 45, LR => 0.000035, Loss => 0.0012, Accuracy => 99.97%
Epoch: 46, LR => 0.000024, Loss => 0.0010, Accuracy => 99.98%
Epoch: 47, LR => 0.000016, Loss => 0.0011, Accuracy => 99.97%
Epoch: 48, LR => 0.000009, Loss => 0.0009, Accuracy => 99.98%
Epoch: 49, LR => 0.000004, Loss => 0.0009, Accuracy => 99.98%
Epoch: 50, LR => 0.000001, Loss => 0.0009, Accuracy => 99.98%
