Epoch: 1, LR => 0.001000, Loss => 16.5184, Accuracy => 11.23%
Epoch: 2, LR => 0.000999, Loss => 13.1233, Accuracy => 23.00%
Epoch: 3, LR => 0.000996, Loss => 11.1426, Accuracy => 31.52%
Epoch: 4, LR => 0.000991, Loss => 9.7756, Accuracy => 37.96%
Epoch: 5, LR => 0.000984, Loss => 8.6592, Accuracy => 43.62%
Epoch: 6, LR => 0.000976, Loss => 7.7363, Accuracy => 48.36%
Epoch: 7, LR => 0.000965, Loss => 6.9122, Accuracy => 52.48%
Epoch: 8, LR => 0.000952, Loss => 6.1940, Accuracy => 56.79%
Epoch: 9, LR => 0.000938, Loss => 5.5863, Accuracy => 60.17%
Epoch: 10, LR => 0.000922, Loss => 5.0481, Accuracy => 63.38%
Epoch: 11, LR => 0.000905, Loss => 4.5733, Accuracy => 66.38%
Epoch: 12, LR => 0.000885, Loss => 4.1734, Accuracy => 69.05%
Epoch: 13, LR => 0.000864, Loss => 3.7767, Accuracy => 71.59%
Epoch: 14, LR => 0.000842, Loss => 3.4972, Accuracy => 73.66%
Epoch: 15, LR => 0.000819, Loss => 3.2266, Accuracy => 75.76%
Epoch: 16, LR => 0.000794, Loss => 3.0029, Accuracy => 77.74%
Epoch: 17, LR => 0.000768, Loss => 2.8517, Accuracy => 78.88%
Epoch: 18, LR => 0.000741, Loss => 2.7027, Accuracy => 80.10%
Epoch: 19, LR => 0.000713, Loss => 2.5870, Accuracy => 81.21%
Epoch: 20, LR => 0.000684, Loss => 2.4432, Accuracy => 82.30%
Epoch: 21, LR => 0.000655, Loss => 2.3518, Accuracy => 83.34%
Epoch: 22, LR => 0.000624, Loss => 2.2611, Accuracy => 84.20%
Epoch: 23, LR => 0.000594, Loss => 2.1726, Accuracy => 84.88%
Epoch: 24, LR => 0.000563, Loss => 2.1038, Accuracy => 85.58%
Epoch: 25, LR => 0.000531, Loss => 2.0160, Accuracy => 86.29%
Epoch: 26, LR => 0.000500, Loss => 1.9526, Accuracy => 86.92%
Epoch: 27, LR => 0.000469, Loss => 1.9000, Accuracy => 87.20%
Epoch: 28, LR => 0.000437, Loss => 1.8474, Accuracy => 87.87%
Epoch: 29, LR => 0.000406, Loss => 1.8028, Accuracy => 88.20%
Epoch: 30, LR => 0.000376, Loss => 1.7435, Accuracy => 88.86%
Epoch: 31, LR => 0.000345, Loss => 1.7199, Accuracy => 88.90%
Epoch: 32, LR => 0.000316, Loss => 1.6742, Accuracy => 89.39%
Epoch: 33, LR => 0.000287, Loss => 1.6377, Accuracy => 89.60%
Epoch: 34, LR => 0.000259, Loss => 1.6112, Accuracy => 90.03%
Epoch: 35, LR => 0.000232, Loss => 1.5800, Accuracy => 90.12%
Epoch: 36, LR => 0.000206, Loss => 1.5481, Accuracy => 90.41%
Epoch: 37, LR => 0.000181, Loss => 1.5303, Accuracy => 90.58%
Epoch: 38, LR => 0.000158, Loss => 1.5084, Accuracy => 90.73%
Epoch: 39, LR => 0.000136, Loss => 1.4736, Accuracy => 90.98%
Epoch: 40, LR => 0.000115, Loss => 1.4639, Accuracy => 91.12%
Epoch: 41, LR => 0.000095, Loss => 1.4471, Accuracy => 91.41%
Epoch: 42, LR => 0.000078, Loss => 1.4294, Accuracy => 91.36%
Epoch: 43, LR => 0.000062, Loss => 1.4153, Accuracy => 91.56%
Epoch: 44, LR => 0.000048, Loss => 1.4085, Accuracy => 91.71%
Epoch: 45, LR => 0.000035, Loss => 1.3968, Accuracy => 91.72%
Epoch: 46, LR => 0.000024, Loss => 1.3876, Accuracy => 91.95%
Epoch: 47, LR => 0.000016, Loss => 1.3869, Accuracy => 91.86%
Epoch: 48, LR => 0.000009, Loss => 1.3747, Accuracy => 92.07%
Epoch: 49, LR => 0.000004, Loss => 1.3725, Accuracy => 91.97%
Epoch: 50, LR => 0.000001, Loss => 1.3786, Accuracy => 91.89%
