Epoch: 1, LR => 0.001000, Loss => 14.6805, Accuracy => 9.32%
Epoch: 2, LR => 0.000999, Loss => 12.0241, Accuracy => 19.81%
Epoch: 3, LR => 0.000996, Loss => 10.4220, Accuracy => 27.56%
Epoch: 4, LR => 0.000991, Loss => 9.2882, Accuracy => 33.55%
Epoch: 5, LR => 0.000984, Loss => 8.4945, Accuracy => 38.04%
Epoch: 6, LR => 0.000976, Loss => 7.7796, Accuracy => 42.06%
Epoch: 7, LR => 0.000965, Loss => 7.2318, Accuracy => 45.37%
Epoch: 8, LR => 0.000952, Loss => 6.7568, Accuracy => 48.48%
Epoch: 9, LR => 0.000938, Loss => 6.3918, Accuracy => 50.34%
Epoch: 10, LR => 0.000922, Loss => 6.0484, Accuracy => 52.65%
Epoch: 11, LR => 0.000905, Loss => 5.7302, Accuracy => 54.63%
Epoch: 12, LR => 0.000885, Loss => 5.4770, Accuracy => 56.34%
Epoch: 13, LR => 0.000864, Loss => 5.2466, Accuracy => 57.68%
Epoch: 14, LR => 0.000842, Loss => 5.0132, Accuracy => 59.39%
Epoch: 15, LR => 0.000819, Loss => 4.8462, Accuracy => 60.73%
Epoch: 16, LR => 0.000794, Loss => 4.6494, Accuracy => 61.74%
Epoch: 17, LR => 0.000768, Loss => 4.5033, Accuracy => 63.15%
Epoch: 18, LR => 0.000741, Loss => 4.3459, Accuracy => 64.21%
Epoch: 19, LR => 0.000713, Loss => 4.1936, Accuracy => 65.28%
Epoch: 20, LR => 0.000684, Loss => 4.0873, Accuracy => 66.19%
Epoch: 21, LR => 0.000655, Loss => 3.9620, Accuracy => 66.91%
Epoch: 22, LR => 0.000624, Loss => 3.8740, Accuracy => 67.64%
Epoch: 23, LR => 0.000594, Loss => 3.7299, Accuracy => 68.59%
Epoch: 24, LR => 0.000563, Loss => 3.6598, Accuracy => 69.09%
Epoch: 25, LR => 0.000531, Loss => 3.5586, Accuracy => 69.84%
Epoch: 26, LR => 0.000500, Loss => 3.4826, Accuracy => 70.48%
Epoch: 27, LR => 0.000469, Loss => 3.4037, Accuracy => 70.90%
Epoch: 28, LR => 0.000437, Loss => 3.3356, Accuracy => 71.69%
Epoch: 29, LR => 0.000406, Loss => 3.2581, Accuracy => 72.19%
Epoch: 30, LR => 0.000376, Loss => 3.2023, Accuracy => 72.43%
Epoch: 31, LR => 0.000345, Loss => 3.1484, Accuracy => 73.00%
Epoch: 32, LR => 0.000316, Loss => 3.0975, Accuracy => 73.50%
Epoch: 33, LR => 0.000287, Loss => 3.0391, Accuracy => 73.87%
Epoch: 34, LR => 0.000259, Loss => 3.0027, Accuracy => 74.04%
Epoch: 35, LR => 0.000232, Loss => 2.9572, Accuracy => 74.55%
Epoch: 36, LR => 0.000206, Loss => 2.9175, Accuracy => 74.68%
Epoch: 37, LR => 0.000181, Loss => 2.8943, Accuracy => 74.76%
Epoch: 38, LR => 0.000158, Loss => 2.8520, Accuracy => 75.30%
Epoch: 39, LR => 0.000136, Loss => 2.8285, Accuracy => 75.38%
Epoch: 40, LR => 0.000115, Loss => 2.8088, Accuracy => 75.69%
Epoch: 41, LR => 0.000095, Loss => 2.7832, Accuracy => 75.80%
Epoch: 42, LR => 0.000078, Loss => 2.7610, Accuracy => 76.15%
Epoch: 43, LR => 0.000062, Loss => 2.7425, Accuracy => 76.23%
Epoch: 44, LR => 0.000048, Loss => 2.7318, Accuracy => 76.27%
Epoch: 45, LR => 0.000035, Loss => 2.7285, Accuracy => 76.32%
Epoch: 46, LR => 0.000024, Loss => 2.7001, Accuracy => 76.40%
Epoch: 47, LR => 0.000016, Loss => 2.6885, Accuracy => 76.63%
Epoch: 48, LR => 0.000009, Loss => 2.6978, Accuracy => 76.35%
Epoch: 49, LR => 0.000004, Loss => 2.6901, Accuracy => 76.59%
Epoch: 50, LR => 0.000001, Loss => 2.6993, Accuracy => 76.40%
