Epoch: 1, LR => 0.001000, Loss => 2.3655, Accuracy => 46.86%
Epoch: 2, LR => 0.000999, Loss => 1.1980, Accuracy => 68.22%
Epoch: 3, LR => 0.000996, Loss => 1.0499, Accuracy => 71.37%
Epoch: 4, LR => 0.000991, Loss => 0.9577, Accuracy => 73.53%
Epoch: 5, LR => 0.000984, Loss => 0.9076, Accuracy => 74.64%
Epoch: 6, LR => 0.000976, Loss => 0.8763, Accuracy => 75.44%
Epoch: 7, LR => 0.000965, Loss => 0.8485, Accuracy => 75.87%
Epoch: 8, LR => 0.000952, Loss => 0.8225, Accuracy => 76.35%
Epoch: 9, LR => 0.000938, Loss => 0.7964, Accuracy => 77.13%
Epoch: 10, LR => 0.000922, Loss => 0.7767, Accuracy => 77.42%
Epoch: 11, LR => 0.000905, Loss => 0.7678, Accuracy => 77.58%
Epoch: 12, LR => 0.000885, Loss => 0.7483, Accuracy => 78.25%
Epoch: 13, LR => 0.000864, Loss => 0.7491, Accuracy => 78.30%
Epoch: 14, LR => 0.000842, Loss => 0.7398, Accuracy => 78.58%
Epoch: 15, LR => 0.000819, Loss => 0.7312, Accuracy => 78.63%
Epoch: 16, LR => 0.000794, Loss => 0.7240, Accuracy => 78.83%
Epoch: 17, LR => 0.000768, Loss => 0.7209, Accuracy => 78.80%
Epoch: 18, LR => 0.000741, Loss => 0.7136, Accuracy => 79.06%
Epoch: 19, LR => 0.000713, Loss => 0.7073, Accuracy => 79.14%
Epoch: 20, LR => 0.000684, Loss => 0.6978, Accuracy => 79.41%
Epoch: 21, LR => 0.000655, Loss => 0.6860, Accuracy => 79.75%
Epoch: 22, LR => 0.000624, Loss => 0.6899, Accuracy => 79.56%
Epoch: 23, LR => 0.000594, Loss => 0.6884, Accuracy => 79.73%
Epoch: 24, LR => 0.000563, Loss => 0.6898, Accuracy => 79.71%
Epoch: 25, LR => 0.000531, Loss => 0.6822, Accuracy => 79.66%
Epoch: 26, LR => 0.000500, Loss => 0.6776, Accuracy => 80.13%
Epoch: 27, LR => 0.000469, Loss => 0.6736, Accuracy => 80.10%
Epoch: 28, LR => 0.000437, Loss => 0.6647, Accuracy => 80.16%
Epoch: 29, LR => 0.000406, Loss => 0.6631, Accuracy => 80.39%
Epoch: 30, LR => 0.000376, Loss => 0.6671, Accuracy => 80.12%
Epoch: 31, LR => 0.000345, Loss => 0.6617, Accuracy => 80.39%
Epoch: 32, LR => 0.000316, Loss => 0.6584, Accuracy => 80.58%
Epoch: 33, LR => 0.000287, Loss => 0.6624, Accuracy => 80.49%
Epoch: 34, LR => 0.000259, Loss => 0.6552, Accuracy => 80.47%
Epoch: 35, LR => 0.000232, Loss => 0.6535, Accuracy => 80.60%
Epoch: 36, LR => 0.000206, Loss => 0.6529, Accuracy => 80.78%
Epoch: 37, LR => 0.000181, Loss => 0.6485, Accuracy => 80.53%
Epoch: 38, LR => 0.000158, Loss => 0.6444, Accuracy => 80.85%
Epoch: 39, LR => 0.000136, Loss => 0.6417, Accuracy => 80.86%
Epoch: 40, LR => 0.000115, Loss => 0.6477, Accuracy => 80.57%
Epoch: 41, LR => 0.000095, Loss => 0.6404, Accuracy => 80.80%
Epoch: 42, LR => 0.000078, Loss => 0.6463, Accuracy => 80.77%
Epoch: 43, LR => 0.000062, Loss => 0.6423, Accuracy => 80.87%
Epoch: 44, LR => 0.000048, Loss => 0.6408, Accuracy => 80.77%
Epoch: 45, LR => 0.000035, Loss => 0.6436, Accuracy => 80.83%
Epoch: 46, LR => 0.000024, Loss => 0.6332, Accuracy => 81.07%
Epoch: 47, LR => 0.000016, Loss => 0.6382, Accuracy => 80.94%
Epoch: 48, LR => 0.000009, Loss => 0.6325, Accuracy => 80.96%
Epoch: 49, LR => 0.000004, Loss => 0.6345, Accuracy => 81.03%
Epoch: 50, LR => 0.000001, Loss => 0.6345, Accuracy => 81.07%
