Epoch: 1, LR => 0.001000, Loss => 1.8646, Accuracy => 56.15%
Epoch: 2, LR => 0.000999, Loss => 0.8413, Accuracy => 76.25%
Epoch: 3, LR => 0.000996, Loss => 0.7205, Accuracy => 79.18%
Epoch: 4, LR => 0.000991, Loss => 0.6467, Accuracy => 81.12%
Epoch: 5, LR => 0.000984, Loss => 0.5945, Accuracy => 82.60%
Epoch: 6, LR => 0.000976, Loss => 0.5600, Accuracy => 83.27%
Epoch: 7, LR => 0.000965, Loss => 0.5298, Accuracy => 84.14%
Epoch: 8, LR => 0.000952, Loss => 0.5039, Accuracy => 84.93%
Epoch: 9, LR => 0.000938, Loss => 0.4879, Accuracy => 85.35%
Epoch: 10, LR => 0.000922, Loss => 0.4703, Accuracy => 85.77%
Epoch: 11, LR => 0.000905, Loss => 0.4538, Accuracy => 86.13%
Epoch: 12, LR => 0.000885, Loss => 0.4415, Accuracy => 86.49%
Epoch: 13, LR => 0.000864, Loss => 0.4237, Accuracy => 87.06%
Epoch: 14, LR => 0.000842, Loss => 0.4127, Accuracy => 87.34%
Epoch: 15, LR => 0.000819, Loss => 0.4043, Accuracy => 87.56%
Epoch: 16, LR => 0.000794, Loss => 0.3957, Accuracy => 87.86%
Epoch: 17, LR => 0.000768, Loss => 0.3839, Accuracy => 88.07%
Epoch: 18, LR => 0.000741, Loss => 0.3828, Accuracy => 88.18%
Epoch: 19, LR => 0.000713, Loss => 0.3769, Accuracy => 88.34%
Epoch: 20, LR => 0.000684, Loss => 0.3649, Accuracy => 88.77%
Epoch: 21, LR => 0.000655, Loss => 0.3630, Accuracy => 88.83%
Epoch: 22, LR => 0.000624, Loss => 0.3542, Accuracy => 89.12%
Epoch: 23, LR => 0.000594, Loss => 0.3487, Accuracy => 89.13%
Epoch: 24, LR => 0.000563, Loss => 0.3441, Accuracy => 89.36%
Epoch: 25, LR => 0.000531, Loss => 0.3360, Accuracy => 89.70%
Epoch: 26, LR => 0.000500, Loss => 0.3372, Accuracy => 89.60%
Epoch: 27, LR => 0.000469, Loss => 0.3282, Accuracy => 89.94%
Epoch: 28, LR => 0.000437, Loss => 0.3300, Accuracy => 89.85%
Epoch: 29, LR => 0.000406, Loss => 0.3207, Accuracy => 90.09%
Epoch: 30, LR => 0.000376, Loss => 0.3187, Accuracy => 90.10%
Epoch: 31, LR => 0.000345, Loss => 0.3213, Accuracy => 90.01%
Epoch: 32, LR => 0.000316, Loss => 0.3173, Accuracy => 90.16%
Epoch: 33, LR => 0.000287, Loss => 0.3100, Accuracy => 90.36%
Epoch: 34, LR => 0.000259, Loss => 0.3096, Accuracy => 90.32%
Epoch: 35, LR => 0.000232, Loss => 0.3061, Accuracy => 90.65%
Epoch: 36, LR => 0.000206, Loss => 0.3049, Accuracy => 90.63%
Epoch: 37, LR => 0.000181, Loss => 0.3028, Accuracy => 90.68%
Epoch: 38, LR => 0.000158, Loss => 0.3032, Accuracy => 90.64%
Epoch: 39, LR => 0.000136, Loss => 0.3000, Accuracy => 90.70%
Epoch: 40, LR => 0.000115, Loss => 0.2976, Accuracy => 90.91%
Epoch: 41, LR => 0.000095, Loss => 0.2941, Accuracy => 90.94%
Epoch: 42, LR => 0.000078, Loss => 0.2962, Accuracy => 91.03%
Epoch: 43, LR => 0.000062, Loss => 0.2966, Accuracy => 90.93%
Epoch: 44, LR => 0.000048, Loss => 0.2943, Accuracy => 91.14%
Epoch: 45, LR => 0.000035, Loss => 0.2916, Accuracy => 91.07%
Epoch: 46, LR => 0.000024, Loss => 0.2900, Accuracy => 91.08%
Epoch: 47, LR => 0.000016, Loss => 0.2910, Accuracy => 91.00%
Epoch: 48, LR => 0.000009, Loss => 0.2922, Accuracy => 91.10%
Epoch: 49, LR => 0.000004, Loss => 0.2916, Accuracy => 91.06%
Epoch: 50, LR => 0.000001, Loss => 0.2910, Accuracy => 91.15%
