Epoch: 1, LR => 0.001000, Loss => 1.7691, Accuracy => 58.74%
Epoch: 2, LR => 0.000999, Loss => 0.7636, Accuracy => 78.63%
Epoch: 3, LR => 0.000996, Loss => 0.6302, Accuracy => 81.93%
Epoch: 4, LR => 0.000991, Loss => 0.5502, Accuracy => 83.99%
Epoch: 5, LR => 0.000984, Loss => 0.4960, Accuracy => 85.58%
Epoch: 6, LR => 0.000976, Loss => 0.4511, Accuracy => 86.91%
Epoch: 7, LR => 0.000965, Loss => 0.4150, Accuracy => 87.93%
Epoch: 8, LR => 0.000952, Loss => 0.3868, Accuracy => 88.71%
Epoch: 9, LR => 0.000938, Loss => 0.3611, Accuracy => 89.51%
Epoch: 10, LR => 0.000922, Loss => 0.3393, Accuracy => 90.26%
Epoch: 11, LR => 0.000905, Loss => 0.3199, Accuracy => 90.81%
Epoch: 12, LR => 0.000885, Loss => 0.3048, Accuracy => 91.41%
Epoch: 13, LR => 0.000864, Loss => 0.2904, Accuracy => 91.64%
Epoch: 14, LR => 0.000842, Loss => 0.2772, Accuracy => 92.28%
Epoch: 15, LR => 0.000819, Loss => 0.2650, Accuracy => 92.69%
Epoch: 16, LR => 0.000794, Loss => 0.2532, Accuracy => 93.16%
Epoch: 17, LR => 0.000768, Loss => 0.2436, Accuracy => 93.49%
Epoch: 18, LR => 0.000741, Loss => 0.2343, Accuracy => 93.71%
Epoch: 19, LR => 0.000713, Loss => 0.2261, Accuracy => 94.10%
Epoch: 20, LR => 0.000684, Loss => 0.2176, Accuracy => 94.42%
Epoch: 21, LR => 0.000655, Loss => 0.2119, Accuracy => 94.58%
Epoch: 22, LR => 0.000624, Loss => 0.2048, Accuracy => 94.81%
Epoch: 23, LR => 0.000594, Loss => 0.1985, Accuracy => 95.09%
Epoch: 24, LR => 0.000563, Loss => 0.1926, Accuracy => 95.28%
Epoch: 25, LR => 0.000531, Loss => 0.1875, Accuracy => 95.43%
Epoch: 26, LR => 0.000500, Loss => 0.1827, Accuracy => 95.67%
Epoch: 27, LR => 0.000469, Loss => 0.1791, Accuracy => 95.86%
Epoch: 28, LR => 0.000437, Loss => 0.1750, Accuracy => 96.01%
Epoch: 29, LR => 0.000406, Loss => 0.1707, Accuracy => 96.13%
Epoch: 30, LR => 0.000376, Loss => 0.1674, Accuracy => 96.23%
Epoch: 31, LR => 0.000345, Loss => 0.1640, Accuracy => 96.35%
Epoch: 32, LR => 0.000316, Loss => 0.1613, Accuracy => 96.47%
Epoch: 33, LR => 0.000287, Loss => 0.1588, Accuracy => 96.51%
Epoch: 34, LR => 0.000259, Loss => 0.1562, Accuracy => 96.63%
Epoch: 35, LR => 0.000232, Loss => 0.1539, Accuracy => 96.72%
Epoch: 36, LR => 0.000206, Loss => 0.1520, Accuracy => 96.79%
Epoch: 37, LR => 0.000181, Loss => 0.1500, Accuracy => 96.89%
Epoch: 38, LR => 0.000158, Loss => 0.1485, Accuracy => 96.91%
Epoch: 39, LR => 0.000136, Loss => 0.1470, Accuracy => 96.96%
Epoch: 40, LR => 0.000115, Loss => 0.1457, Accuracy => 96.99%
Epoch: 41, LR => 0.000095, Loss => 0.1441, Accuracy => 97.06%
Epoch: 42, LR => 0.000078, Loss => 0.1432, Accuracy => 97.11%
Epoch: 43, LR => 0.000062, Loss => 0.1425, Accuracy => 97.17%
Epoch: 44, LR => 0.000048, Loss => 0.1416, Accuracy => 97.17%
Epoch: 45, LR => 0.000035, Loss => 0.1410, Accuracy => 97.20%
Epoch: 46, LR => 0.000024, Loss => 0.1404, Accuracy => 97.20%
Epoch: 47, LR => 0.000016, Loss => 0.1400, Accuracy => 97.25%
Epoch: 48, LR => 0.000009, Loss => 0.1397, Accuracy => 97.26%
Epoch: 49, LR => 0.000004, Loss => 0.1395, Accuracy => 97.26%
Epoch: 50, LR => 0.000001, Loss => 0.1393, Accuracy => 97.26%
