Epoch: 1, LR => 0.001000, Loss => 1.8083, Accuracy => 58.16%
Epoch: 2, LR => 0.000999, Loss => 0.7679, Accuracy => 78.47%
Epoch: 3, LR => 0.000996, Loss => 0.6321, Accuracy => 81.97%
Epoch: 4, LR => 0.000991, Loss => 0.5501, Accuracy => 84.04%
Epoch: 5, LR => 0.000984, Loss => 0.4927, Accuracy => 85.64%
Epoch: 6, LR => 0.000976, Loss => 0.4501, Accuracy => 86.78%
Epoch: 7, LR => 0.000965, Loss => 0.4146, Accuracy => 87.88%
Epoch: 8, LR => 0.000952, Loss => 0.3861, Accuracy => 88.79%
Epoch: 9, LR => 0.000938, Loss => 0.3626, Accuracy => 89.50%
Epoch: 10, LR => 0.000922, Loss => 0.3401, Accuracy => 90.20%
Epoch: 11, LR => 0.000905, Loss => 0.3204, Accuracy => 90.81%
Epoch: 12, LR => 0.000885, Loss => 0.3063, Accuracy => 91.21%
Epoch: 13, LR => 0.000864, Loss => 0.2914, Accuracy => 91.77%
Epoch: 14, LR => 0.000842, Loss => 0.2767, Accuracy => 92.23%
Epoch: 15, LR => 0.000819, Loss => 0.2658, Accuracy => 92.61%
Epoch: 16, LR => 0.000794, Loss => 0.2540, Accuracy => 93.12%
Epoch: 17, LR => 0.000768, Loss => 0.2447, Accuracy => 93.37%
Epoch: 18, LR => 0.000741, Loss => 0.2356, Accuracy => 93.67%
Epoch: 19, LR => 0.000713, Loss => 0.2267, Accuracy => 94.05%
Epoch: 20, LR => 0.000684, Loss => 0.2185, Accuracy => 94.30%
Epoch: 21, LR => 0.000655, Loss => 0.2122, Accuracy => 94.61%
Epoch: 22, LR => 0.000624, Loss => 0.2055, Accuracy => 94.86%
Epoch: 23, LR => 0.000594, Loss => 0.1999, Accuracy => 95.05%
Epoch: 24, LR => 0.000563, Loss => 0.1933, Accuracy => 95.31%
Epoch: 25, LR => 0.000531, Loss => 0.1884, Accuracy => 95.41%
Epoch: 26, LR => 0.000500, Loss => 0.1842, Accuracy => 95.59%
Epoch: 27, LR => 0.000469, Loss => 0.1796, Accuracy => 95.81%
Epoch: 28, LR => 0.000437, Loss => 0.1755, Accuracy => 95.85%
Epoch: 29, LR => 0.000406, Loss => 0.1717, Accuracy => 96.06%
Epoch: 30, LR => 0.000376, Loss => 0.1682, Accuracy => 96.22%
Epoch: 31, LR => 0.000345, Loss => 0.1648, Accuracy => 96.34%
Epoch: 32, LR => 0.000316, Loss => 0.1621, Accuracy => 96.38%
Epoch: 33, LR => 0.000287, Loss => 0.1595, Accuracy => 96.48%
Epoch: 34, LR => 0.000259, Loss => 0.1570, Accuracy => 96.57%
Epoch: 35, LR => 0.000232, Loss => 0.1547, Accuracy => 96.73%
Epoch: 36, LR => 0.000206, Loss => 0.1525, Accuracy => 96.72%
Epoch: 37, LR => 0.000181, Loss => 0.1506, Accuracy => 96.86%
Epoch: 38, LR => 0.000158, Loss => 0.1489, Accuracy => 96.93%
Epoch: 39, LR => 0.000136, Loss => 0.1476, Accuracy => 96.96%
Epoch: 40, LR => 0.000115, Loss => 0.1463, Accuracy => 96.99%
Epoch: 41, LR => 0.000095, Loss => 0.1449, Accuracy => 97.05%
Epoch: 42, LR => 0.000078, Loss => 0.1440, Accuracy => 97.06%
Epoch: 43, LR => 0.000062, Loss => 0.1430, Accuracy => 97.12%
Epoch: 44, LR => 0.000048, Loss => 0.1421, Accuracy => 97.15%
Epoch: 45, LR => 0.000035, Loss => 0.1415, Accuracy => 97.19%
Epoch: 46, LR => 0.000024, Loss => 0.1410, Accuracy => 97.21%
Epoch: 47, LR => 0.000016, Loss => 0.1406, Accuracy => 97.20%
Epoch: 48, LR => 0.000009, Loss => 0.1403, Accuracy => 97.22%
Epoch: 49, LR => 0.000004, Loss => 0.1400, Accuracy => 97.23%
Epoch: 50, LR => 0.000001, Loss => 0.1398, Accuracy => 97.22%
